,Time Relative (sec),Time Absolute (UTC),Time Absolute (Date_Time),Step,Ionizer_State,Pressure_(mBar),External_Pressure_(mBar),1_amu,2_amu_(Hydrogen),15_amu_(Methanol_/_CH3OH),18_amu_(Water),28_amu_(Nitrogen),29_amu_(Methanol_/_CH3OH),30_amu_(Methanol_/_CH3OH),31_amu_(Methanol_/_CH3OH),32_amu_(Oxygen),40_amu_(Argon),44_amu_(CO2),Periph:_Digital_In_0,Periph:_Digital_In_1,Periph:_Digital_In_13,Periph:_Digital_In_14,Periph:_Digital_In_15,Periph:_Digital_In_16,Periph:_Digital_In_17,Periph:_Digital_Out_2,Periph:_Digital_Out_3,Periph:_Digital_Out_4,Periph:_Digital_Out_5,Periph:_Digital_Out_6,Periph:_Digital_Out_7,Periph:_Digital_Out_8,Periph:_Digital_Out_9,Periph:_Digital_Out_10,Periph:_Digital_Out_11,Sig:_CO2_in_%,Sig:_N2_in_%,Sig:_H2_in_%,Sig:_H2O_in_%,Sig:_MeOH_in_%
31,15.205,1604671261.559,2020/11/06_15:01:01.559,1,3,5.759578470999999e-06,7.316396022000001e-06,1.452491322e-10,1.712747305e-11,2.31789813e-11,1.6671762859999999e-09,4.989124847e-08,4.105128459e-10,2.852620223e-11,1.67865704e-11,1.0833449690000001e-08,7.205662732999999e-10,4.717556207e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07394173121,78.19822641,0.25450480649999996,16.9800632,0.7507791708
32,15.655999999999999,1604671262.01,2020/11/06_15:01:02.010,1,3,5.762295586000001e-06,7.418055702000001e-06,1.459976307e-10,1.679045618e-11,2.301224662e-11,1.663717608e-09,4.9694683919999996e-08,4.0670813939999996e-10,2.7695689490000002e-11,1.55580427e-11,1.103088376e-08,7.264880919e-10,4.7610831939999995e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07462612686,77.89239623,0.2551571548,17.29001778,0.7413486617
33,16.107,1604671262.461,2020/11/06_15:01:02.461,1,3,5.762972251e-06,7.330443623e-06,1.44660145e-10,1.703685283e-11,2.304808948e-11,1.659310467e-09,4.992942593e-08,4.176836099e-10,2.878250242e-11,1.6445927950000002e-11,1.093742075e-08,7.266535151e-10,4.714551666e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07372521698,78.07863867,0.2528585344,17.10372003,0.7599347414000001
34,16.558,1604671262.9120002,2020/11/06_15:01:02.912,1,3,5.757241524e-06,7.361406915e-06,1.4273113249999999e-10,1.7407153839999998e-11,2.227642897e-11,1.6730260509999999e-09,4.9803869469999996e-08,4.15076834e-10,2.88070956e-11,1.617102459e-11,1.097724223e-08,7.301431126e-10,4.7169677889999996e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07384810222,77.97215093,0.2507099702,17.18579694,0.7551303906
35,17.009,1604671263.363,2020/11/06_15:01:03.363,1,3,5.762159162e-06,7.369882042e-06,1.456841731e-10,1.693391954e-11,2.322476933e-11,1.669110072e-09,4.96474577e-08,4.14952267e-10,2.8405659769999998e-11,1.5920657149999998e-11,1.0861313629999999e-08,7.306689698e-10,4.710572904e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07406470622,78.06108607,0.255685699,17.07732837,0.7586437963
36,17.46,1604671263.814,2020/11/06_15:01:03.814,1,3,5.749734555e-06,7.412364539e-06,1.472962585e-10,1.752063078e-11,2.329092648e-11,1.670761085e-09,4.962201672e-08,4.179624702e-10,2.776780195e-11,1.553731969e-11,1.0948240540000001e-08,7.263382118e-10,4.740866727e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07446682984,77.94343288,0.2588849668,17.19687163,0.7611168761
37,17.910999999999998,1604671264.265,2020/11/06_15:01:04.265,1,3,5.757976851e-06,7.44369072e-06,1.457520354e-10,1.719869039e-11,2.2556687419999998e-11,1.6808590079999998e-09,4.960202915e-08,4.162144518e-10,2.816026926e-11,1.607033603e-11,1.095167512e-08,7.646199784e-10,4.625727232e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0726271952,77.87870042,0.25584418579999996,17.19490595,0.7583469629999999
38,18.362000000000002,1604671264.716,2020/11/06_15:01:04.716,1,3,5.758113275000001e-06,7.288414507999999e-06,1.455922466e-10,1.690809125e-11,2.2783533739999998e-11,1.6781981359999999e-09,4.942371845e-08,4.173449086e-10,2.893751558e-11,1.5914844099999998e-11,1.085933743e-08,7.235704812999999e-10,4.787964469e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07554355431,77.97976328,0.2563898119,17.13364734,0.7651930961
39,18.813,1604671265.167,2020/11/06_15:01:05.167,1,3,5.7635297710000005e-06,7.369882042e-06,1.477109268e-10,1.746065618e-11,2.3175584719999998e-11,1.682956441e-09,4.9898385869999996e-08,4.1624592660000003e-10,2.7649002879999996e-11,1.555772525e-11,1.088864643e-08,7.263392665e-10,4.678011103e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07321872946,78.09935322,0.2585212644,17.04256017,0.7553942416
40,19.264,1604671265.6179998,2020/11/06_15:01:05.618,1,3,5.757095096e-06,7.336055205e-06,1.4546935880000002e-10,1.7130795050000002e-11,2.3114924899999998e-11,1.678558514e-09,4.9389168310000004e-08,4.1519992999999997e-10,2.833032073e-11,1.588094413e-11,1.094106139e-08,7.143080571e-10,4.715258392e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0743551289,77.88200923,0.2564049389,17.253010600000003,0.7608976826
